书名,评论数,评分
计算机程序设计艺术（第2卷）:半数值算法,69,9.8
"Real-TimeRendering,ThirdEdition",141,9.8
计算机程序设计艺术(第3卷)-排序和查找(英文影印版):排序和查找,98,9.7
AdvancedR,53,9.7
OperatingSystems:ThreeEasyPieces,164,9.7
DataStructuresandAlgorithmsinPython,51,9.6
PurelyFunctionalDataStructures,32,9.6
"DesigningData-IntensiveApplications:TheBigIdeasBehindReliable,Scalable,andMaintainableSystems",312,9.6
视觉SLAM十四讲:从理论到实践,92,9.5
UNIX网络编程:第1卷:套接口API(第3版),915,9.5
GameProgrammingPatterns,71,9.5
Instructor'sManualt/aStructureandInterpretationofComputerPrograms,65,9.5
流畅的Python,319,9.5
CLRviaC#,295,9.5
深入理解计算机系统,2589,9.5
计算机程序的构造和解释:原书第2版,2038,9.5
深入理解ES6,135,9.5
算法（第4版）,871,9.4
C#图解教程:第4版,87,9.4
我和LabVIEW:一个NI工程师的十年编程经验,62,9.4
你不知道的JavaScript（上卷）,530,9.4
Ruby元编程,492,9.4
格蠹汇编:软件调试案例集锦,48,9.4
计算机程序设计艺术（第1卷）:基本算法,456,9.4
"TheElementsofProgrammingStyle,2ndEdition",43,9.4
ParsingTechniques:APracticalGuide,42,9.4
C程序设计语言:第2版·新版,4078,9.4
"IsParallelProgrammingHard,And,IfSo,WhatCanYouDoAboutIt?",40,9.4
TheiOSApprentice:ThirdEdition:BeginningiOSDevelopmentwithSwift,33,9.4
"GenerativeDesign:Visualize,Program,andCreatewithProce",31,9.4
C语言程序设计:现代方法,303,9.4
CSS揭秘,246,9.4
UNIX环境高级编程:第2版,2187,9.4
EffectiveModernC++:42SpecificWaystoImproveYourUseofC++11andC++14,195,9.4
TheLinuxProgrammingInterface:ALinuxandUNIXSystemProgrammingHandbook,156,9.4
UNIX网络编程卷2:进程间通信,147,9.4
汇编语言（第2版）,1153,9.4
TheAWKProgrammingLanguage,113,9.4
"RforDataScience:Visualize,Model,Transform,Tidy,andImportData",98,9.3
ProblemSolvingwithAlgorithmsandDataStructuresUsingPythonSECONDEDITION,78,9.3
ProgrammingFromTheGroundUp,67,9.3
HeadFirstHTML与CSS（第2版）,628,9.3
算法导论（原书第2版）,4805,9.3
TheLittleSchemer-4thEdition,458,9.3
高性能MySQL:第3版,408,9.3
算法新解,40,9.3
代码大全（第2版）,3526,9.3
TheLinuxCommandLine:ACompleteIntroduction,290,9.3
TheGoProgrammingLanguage,196,9.3
SecretsoftheJavaScriptNinja,193,9.3
JavaScript高级程序设计（第3版）,1876,9.3
嗨翻C语言,125,9.3
RubyonRails3Tutorial:LearnRailsbyExample,119,9.3
OnLISP:AdvancedTechniquesforCommonLISP,104,9.3
"EssentialsofProgrammingLanguages,3rdEdition",60,9.2
逆向工程核心原理,58,9.2
EloquentRuby,58,9.2
RealWorldOCaml:IntroductiontoaFlexibleandConciseProgrammingLanguage,44,9.2
C++Primer中文版（第4版）,4195,9.2
"TheSchemeProgrammingLanguage,4thEdition",37,9.2
Unix/Linux编程实践教程,369,9.2
软件工程的事实与谬误,32,9.2
Vim实用技巧,319,9.2
LearnYouaHaskellforGreatGood!:AGuideforBeginners,317,9.2
HeadFirst设计模式（中文版）,2657,9.2
计算机科学概论（第11版）,261,9.2
Oracle9i&10g编程艺术:深入数据库体系结构,237,9.2
编码:隐匿在计算机软硬件背后的语言,2342,9.2
TCP/IP详解卷1：协议,1962,9.2
C专家编程,1837,9.2
EffectiveC++中文版,1329,9.2
高等应用数学问题的MATLAB求解:（第二版）,113,9.2
TheNatureofCode:SimulatingNaturalSystemswithProcessing,96,9.1
FlashActionScript3.0动画高级教程,88,9.1
RCookbook,85,9.1
编译原理:原理、技术与工具,788,9.1
TypesandProgrammingLanguages,71,9.1
时间触发嵌入式系统设计模式:使用8051系列微控制器开发可靠应用,57,9.1
Kotlin实战,54,9.1
操作系统真象还原,49,9.1
Python3面向对象编程,49,9.1
程序设计实践,458,9.1
网络是怎样连接的,419,9.1
AngularJS深度剖析与最佳实践,40,9.1
GettingReal:TenTruthSkillsYouNeedtoLiveanAuthenticLife,39,9.1
TCP/IP详解卷2：实现,329,9.1
Java编程思想（第4版）,3238,9.1
计算机组成（第6版）:结构化方法,31,9.1
Microsoft.NET框架程序设计,296,9.1
JavaScript设计模式与开发实践,280,9.1
图解密码技术,274,9.1
设计模式:可复用面向对象软件的基础,2676,9.1
深入解析Windows操作系统,253,9.1
Java8实战,233,9.1
Spring揭秘,224,9.1
UNIX编程艺术,2052,9.1
编程珠玑:第2版,1921,9.1
JavaScript语言精粹,1700,9.1
CPrimerPlus:（第五版）,1700,9.1
UNIX操作系统设计,147,9.1
计算机系统要素:从零开始构建现代计算机,143,9.1
深度探索C++对象模型,1392,9.1
调试九法:软硬件错误的排查之道,139,9.1
ANSICommonLisp,139,9.1
HowtoDesignPrograms:AnIntroductiontoProgrammingandComputing,137,9.1
DOOM启世录,1360,9.1
编程精粹:编写高质量C语言代码,131,9.1
敏捷软件开发:原则、模式与实践,1303,9.1
深入理解C#（第2版）,124,9.1
Python编程：从入门到实践:从入门到实践,1108,9.1
游戏人工智能编程案例精粹,99,9
AdvanceBash-ScriptingGuide,92,9
Java并发编程实战,901,9
JavaScript面向对象精要,90,9
C#与.NET3.5高级程序设计:第4版,72,9
OpenCV2ComputerVisionApplicationProgrammingCookbook,67,9
TheSeasonedSchemer:SeasonedSchemer,65,9
LinuxC编程一站式学习,593,9
ATourofC++,57,9
嵌入式系统开发之道:菜鸟成长日志与项目经理的私房菜,53,9
高性能JavaScript,517,9
老码识途:从机器码到框架的系统观逆向修炼之路,47,9
C语言名题精选百则技巧篇,46,9
Python编程快速上手:让繁琐工作自动化,376,9
C++设计新思维:泛型编程与设计模式之应用,318,9
游戏引擎架构,273,9
挑战程序设计竞赛,203,9
重构:改善既有代码的设计,2017,9
算法引论:一种创造性方法,186,9
Processing:AProgrammingHandbookforVisualDesignersandArtists,184,9
"LearningProcessing:ABeginner'sGuidetoProgrammingImages,Animation,andInteraction(MorganKaufmannSeriesin",174,9
SQL基础教程,164,9
Effectivejava中文版（第2版）,1439,9
3D游戏编程大师技巧,143,9
集体智慧编程,1385,9
Redis开发与运维,137,9
C和指针,1273,9
程序设计语言:实践之路（第二版）,110,9
"LandofLisp:LearntoPrograminLisp,OneGameataTime!",105,9
ARM嵌入式系统开发,95,8.9
C++程序设计语言（特别版）,886,8.9
程序员代码面试指南：IT名企算法与数据结构题目最优解:IT名企算法与数据结构题目最优解,81,8.9
EffectiveJava中文版,754,8.9
PythonAlgorithms:MasteringBasicAlgorithmsinthePythonLanguage,73,8.9
C++标准程序库:自修教程与参考手册,627,8.9
C++高级编程,58,8.9
Struts2技术内幕:深入解析Struts2架构设计与实现原理,56,8.9
JavaWeb高级编程:涵盖WebSockets、SpringFramework、JPAHibernate和SpringSecurity,55,8.9
TheEffectiveEngineer:HowtoLeverageYourEffortsinSoftwareEngineeringtoMakeaDisproportionateandMeaningfulI,52,8.9
数据科学中的R语言,51,8.9
冒号课堂:编程范式与OOP思想,503,8.9
Perl语言入门:第五版,495,8.9
MoreEffectiveC++中文版,454,8.9
LINQ实战,41,8.9
EffectiveSTL中文版:50条有效使用STL的经验,400,8.9
ProgrammingMassivelyParallelProcessors:AHands-onApproach,33,8.9
Java虚拟机规范(JavaSE7版),33,8.9
C++Primer习题集（第5版）,33,8.9
expertone-on-oneJ2EEDevelopmentwithoutEJB中文版,294,8.9
穿越计算机的迷雾,273,8.9
你不知道的JavaScript（中卷）,171,8.9
数据结构与算法分析:C语言描述,1649,8.9
ProgramminginScala:AComprehensiveStep-by-stepGuide,158,8.9
MoreExceptionalC++中文版:40个新的工程难题、编程疑问及解决方法,150,8.9
算法竞赛入门经典:训练指南,131,8.9
LinkersandLoaders,127,8.9
C陷阱与缺陷:C语言调试指南,1238,8.9
深入理解Java虚拟机（第2版）:JVM高级特性与最佳实践,1067,8.9
x86汇编语言:从实模式到保护模式,105,8.9
精通正则表达式:第3版,1031,8.9
莱昂氏UNIX源代码分析,103,8.9
TheAlgorithmDesignManual,96,8.8
ModernPHP（中文版）,93,8.8
Intel汇编语言程序设计:Intel汇编语言程序设计,90,8.8
HeadFirstC#,76,8.8
HeadFirstAjax（中文版）,74,8.8
R语言实战,665,8.8
图解设计模式,66,8.8
Windows程序设计：第5版,611,8.8
零基础入门学习Python,51,8.8
游戏编程精粹1,47,8.8
Windows核心编程,460,8.8
算法竞赛入门经典,434,8.8
Erlang程序设计,403,8.8
C++语言的设计和演化,400,8.8
游戏编程入门,40,8.8
xUnitTestPatterns:RefactoringTestCode,40,8.8
Linux多线程服务端编程:使用muduoC++网络库,394,8.8
HighPerformancePython:PracticalPerformantProgrammingforHumans,39,8.8
ProPython,36,8.8
.NET单元测试艺术,34,8.8
HTML&CSS设计与构建网站,335,8.8
HeadFirstServlets&JSP（中文版）:通过SCWCD考试之路,298,8.8
Web性能权威指南,249,8.8
UNIX编程环境,233,8.8
程序员的自我修养:链接、装载与库,2054,8.8
软件调试:SoftwareDebugging,204,8.8
AcceleratedC++中文版,177,8.8
操作系统:精髓与设计原理（原书第6版）,172,8.8
C++程序设计原理与实践,164,8.8
iOS编程（第4版）,159,8.8
LaTeX入门,159,8.8
黑客与画家:硅谷创业之父PaulGraham文集,15541,8.8
C语言编程：一本全面的C语言入门教程（第三版）,153,8.8
C标准库:C标准库“圣经”,146,8.8
EffectivePython:编写高质量Python代码的59个有效方法,145,8.8
C程序设计语言:习题解答,126,8.8
C语言的科学和艺术,115,8.8
AnIntroductiontoGCC:FortheGNUCompilersGCCandG++,104,8.8
明解C语言,103,8.8
PythonforInformatics:ExploringInformation,98,8.7
Android源码设计模式解析与实战,82,8.7
JavaScript面向对象编程指南（第2版）,81,8.7
编写可读代码的艺术,783,8.7
高级Perl编程,74,8.7
JAVA2核心技术卷Ⅰ:基础知识,726,8.7
Python源码剖析:深度探索动态语言核心技术,710,8.7
WebGL编程指南,63,8.7
Android系统源代码情景分析,61,8.7
深入Java虚拟机(原书第2版),563,8.7
Linux内核设计与实现,562,8.7
程序员的职业素养,541,8.7
jQuery技术内幕:深入解析jQuery架构设计与实现原理,51,8.7
FlaskWeb开发：基于Python的Web应用开发实战,484,8.7
Windows高级调试,46,8.7
jQuery:NovicetoNinja,45,8.7
Linux设备驱动程序,441,8.7
多处理器编程的艺术,43,8.7
BeginningJavaObjects中文版从概念到代码,41,8.7
Orange'S:一个操作系统的实现,400,8.7
如何求解问题:现代启发式方法,345,8.7
CommonLisp:AGentleIntroductiontoSymbolicComputation,32,8.7
COM本质论,264,8.7
JAVA核心技术卷2:高级特性,261,8.7
Ruby编程语言,250,8.7
Perl语言编程,250,8.7
